no SK_L SK_B CR_I FEM TIB HUM ULN TOT AGE CODE EXC
944 . . . 71.2 106.5 69.5 63.9 346.9 259 BC .
946 39.8 30.4 76.4 78.0 116.5 76.5 70.2 381.0 300 AL .
948 37.7 29.8 79.0 78.0 115.0 74.6 69.2 374.5 262 AL .
951 39.6 30.5 77.0 81.0 120.0 79.4 72.0 392.0 844 A .
951 39.2 29.0 74.0 77.5 117.5 77.4 70.7 382.3 367 AL .
952 38.9 29.7 76.4 . 116.5 76.5 70.2 380.6 728 BC .
956 40.4 31.1 77.0 79.3 117.5 79.0 72.8 389.0 225 AL .
958 39.1 . . 82.0 122.0 80.5 73.7 397.3 660 B .
959 36.6 . . 73.5 107.5 71.3 . 353.9 323 BMC .
960 38.4 29.7 77.3 76.7 111.0 74.7 67.6 368.4 219 A .
962 40.1 30.1 75.1 78.8 117.5 78.6 71.8 386.8 387 A .
964 40.5 30.7 75.8 84.0 124.0 80.1 73.8 402.4 850 A .
966 40.1 30.0 74.8 80.0 122.0 77.0 71.4 390.5 264 A .
968 41.2 30.3 73.5 85.0 126.5 81.0 74.8 408.5 357 A .
971 39.8 30.4 76.4 80.1 116.0 76.8 71.2 383.9 274 A .
976 . . . 78.7 116.5 76.2 70.3 381.1 360 MC .
974 39.5 30.1 76.2 77.8 115.0 74.9 69.1 376.3 615 A .
978 39.3 30.8 78.4 76.3 111.0 . 69.3 369.0 365 BCQL .
981 39.5 30.1 76.2 80.9 118.5 76.8 70.8 386.5 346 AL .
984 36.7 28.8 78.5 76.6 114.5 75.0 69.7 372.5 1146 A .
985 39.0 29.7 76.2 79.6 122.0 77.6 72.3 390.5 229 AL .
990 37.9 28.5 75.2 76.8 113.5 74.3 66.5 369.0 297 AL .
993 40.6 31.7 78.1 81.2 122.0 . 72.8 395.4 350 BCL .
997 39.0 . . 79.1 113.5 74.0 68.3 373.9 324 B .
999 38.3 30.7 80.2 74.8 111.5 72.1 . 363.5 291 MCL .
